R00001  Polyphosphate polyphosphohydrolase
R05615  all-trans-Octaprenyl diphosphate + 4-Hydroxybenzoate <=> 3-Octaprenyl-4-hydroxybenzoate + Diphosphate
R05616  all-trans-Hexaprenyl diphosphate + 4-Hydroxybenzoate <=> 3-Hexaprenyl-4-hydroxybenzoate + Diphosphate
R05617  1,4-Dihydroxy-2-naphthoate + all-trans-Octaprenyl diphosphate <=> 2-Demethylmenaquinone + Diphosphate + CO2
R05618  chlorophyll chlorophyllidohydrolase
R05619  Cyclohexane-1-carboxyl-CoA + Acceptor <=> Cyclohex-1-ene-1-carboxyl-CoA + Reduced acceptor
R05620  Cyclohexane-1-carboxylate + CoA + ATP <=> Cyclohexane-1-carboxyl-CoA + AMP + Diphosphate
R05621  Benzoate + NADH + H+ + Oxygen <=> 1,6-Dihydroxy-cis-2,4-cyclohexadiene-1-carboxylic acid + NAD+
R05622  Benzoate + NADPH + H+ + Oxygen <=> 1,6-Dihydroxy-cis-2,4-cyclohexadiene-1-carboxylic acid + NADP+
R05623  Trimethylamine + NADH + H+ + Oxygen <=> Trimethylamine N-oxide + NAD+ + H2O
R05624  2,6-beta-D-Fructan fructanohydrolase
R05625  Phenylphosphate synthase
R05626  ATP:undecaprenol phosphotransferase
R05627  Undecaprenyl-diphosphate phosphohydrolase
R05628  UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl- phosphate phospho-N-acetylmuramoyl-pentapeptide-transferase
R05629  UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl- phosphate phospho-N-acetylmuramoyl-pentapeptide-transferase
R05630  UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl- phosphate phospho-N-acetylmuramoyl-pentapeptide-transferase
R05631  UDP-N-Acetyl-D-galactosamine:D-galactosyl-1,4-D-galactosyl-1,4--D- glucosylceramide beta-N-acetyl-D-galactosaminyltransferase
R05632  1-Hydroxy-2-naphthoate + NADH + H+ + Oxygen <=> Naphthalene-1,2-diol + CO2 + NAD+ + H2O
R05633  CTP: 2-C-Methyl-D-erythritol 4-phosphate cytidylyltransferase
R05634  ATP: 4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol 2-phosphotransferase
R05635  Formyl-L-methionyl peptide amidohydrolase
R05636  1-Deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating)
R05637  2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing)
R05639  4,4-dimethyl-5a-cholesta-8,24-dien-3b-ol:NADP+ D14-oxidoreductase
R05640  Lanosterol,NADPH:oxygen oxidoreductase (14-methyl cleaving)
R05641  ergosterol:NADP+ D24(241)-oxidoreductase
R05642  2-Hydroxy-2H-benzo[h]chromene-2-carboxylate <=> cis-4-(1'-Hydroxynaphth-2'-yl)-2-oxobut-3-enoate
R05643  2-carboxybenzaldehyde dehydrogenase
R05644  ATP + D-glycero-D-manno-Heptose 1-phosphate <=> Diphosphate + ADP-D-glycero-D-manno-heptose
R05645  Sedoheptulose 7-phosphate <=> D-glycero-D-manno-Heptose 7-phosphate
R05646  ATP + D-glycero-D-manno-Heptose 7-phosphate <=> ADP + D-glycero-D-manno-Heptose 1,7-bisphosphate
R05647  D-glycero-D-manno-Heptose 1,7-bisphosphate + H2O <=> D-glycero-D-manno-Heptose 1-phosphate + Orthophosphate
R05648  cis-4-(1'-Hydroxynaphth-2'-yl)-2-oxobut-3-enoate + H2O <=> 1-Hydroxy-2-naphthaldehyde + Pyruvate
R05649  1-Hydroxy-2-naphthaldehyde + NAD+ + H2O <=> 1-Hydroxy-2-naphthoate + NADH + H+
R05650  Phenanthrene-3,4-diol + Oxygen <=> 2-Hydroxy-2H-benzo[h]chromene-2-carboxylate
R05651  acetyl-phosphate:sulfite S-acetyltransferase (acyl-phosphate hydrolysing, 2-oxoethyl-forming)
R05652  taurine:pyruvate aminotransferase
R05653  phenanthrene 9,10-monooxygenase
R05654  phenanthrene 1,2-monooxygenase
R05655  Phenanthracene + Oxygen + NADH + H+ <=> 1-Phenanthrol + H2O + NAD+
R05656  Phenanthrene-1,2-oxide <=> 1-Phenanthrol
R05657  1-Phenanthrol + CH3-R <=> 1-Methoxyphenanthrene + R
R05658  Phenanthrene-9,10-oxide + H2O <=> trans-9(S),10(S)-Dihydrodiolphenanthrene
R05659  2,4,6/3,5-Pentahydroxycyclohexanone <=> D-2,3-Diketo 4-deoxy-epi-inositol + H2O
R05661  ATP:5-dehydro-2-deoxy-D-gluconate 6-phosphotransferase
R05662  MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho- undecaprenol + UDP-N-acetyl-D-glucosamine <=> Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L- alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine + UDP
R05663  2-Methylbenzaldehyde + NADP+ + H2O <=> o-Toluate + NADPH + H+
R05664  3-Methylbenzaldehyde + NADP+ + H2O <=> m-Methylbenzoate + NADPH + H+
R05665  m-Methylbenzoate + NADH + Oxygen + H+ <=> 1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate + NAD+
R05666  Toluene <=> 4-Cresol
R05668  ATP + NAD+ <=> 3'-Keto-3'-deoxy-ATP + NADH + H+
R05669  3'-Keto-3'-deoxy-ATP <=> 3'-Keto-3'-deoxy-AMP + Diphosphate
R05670  3'-Keto-3'-deoxy-AMP <=> 3'-Amino-3'-deoxy-AMP
R05671  3'-Amino-3'-deoxy-AMP + L-Tyrosine <=> N6,N6,O-Tridemethylpuromycin-5'-phosphate
R05672  N6,N6,O-Tridemethylpuromycin-5'-phosphate + Acetyl-CoA <=> N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phosphate + CoA
R05673  N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phosphate + S-Adenosyl-L-methionine <=> N-Acetyl-N6,O-didemethylpuromycin-5'-phosphate + S-Adenosyl-L-homocysteine
R05674  N-Acetyl-N6,O-didemethylpuromycin-5'-phosphate + S-Adenosyl-L-methionine <=> N-Acetyl-O-demethylpuromycin-5'-phosphate + S-Adenosyl-L-homocysteine
R05675  N-Acetyl-O-demethylpuromycin-5'-phosphate <=> N-Acetyl-O-demethylpuromycin
R05676  N-Acetyl-O-demethylpuromycin + S-Adenosyl-L-methionine <=> N-Acetylpuromycin + S-Adenosyl-L-homocysteine
R05677  N-Acetylpuromycin + H2O <=> Puromycin + Acetate
R05678  Sulcatol:NAD+ oxidoreductase
R05679  sn-Glycerol-1-phosphate:NAD 2-oxidoreductase
R05680  sn-Glycerol-1-phosphate:NADP 2-oxidoreductase
R05681  NAD-dependent threonine 4-phosphate dehydrogenase
R05682  1,5-Anhydro-D-glucitol:NADP oxidoreductase
R05683  L-Idonate:NAD oxidoreductase
R05684  L-Idonate:NADP oxidoreductase
R05685  3-Methylbutanol:NAD(P) oxidoreductase
R05686  3-Methylbutanol:NADP oxidoreductase
R05687  dTDP-4-keto-6-Deoxyglucose reductase
R05688  1-Deoxy-D-xylulose-5-phosphate isomeroreductase
R05689  2-(2-(R)-Hydroxypropylthio)ethanesulfonate dehydrogenase
R05690  2-(2-(S)-Hydroxypropylthio)ethanesulfonate dehydrogenase
R05691  3-beta-Hydroxy-steroid:NADP+ 3-oxidoreductase
R05692  GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)
R05693  (R)-2-Hydroxyacid:NAD+ oxidoreductase
R05694  (R)-2-Hydroxyacid:NADP+ oxidoreductase
R05695  Nucleoside:oxygen 5'-oxidoreductase (H2O2-forming)
R05696  Adenosine + Oxygen <=> 5'-Dehydroadenosine + H2O2
R05697  5'-Dehydroadenosine + Oxygen + H2O <=> 9-Riburonosyladenine + H2O2
R05698  Mannitol:oxygen oxidoreductase (cyclizing)
R05699  vanillin:NAD oxidoreductase
R05700  Coniferyl aldehyde:NAD oxidoreductase
R05701  Coniferyl aldehyde:NADP oxidoreductase
R05702  dihydrozeatin:NADP oxidoreductase
R05703  lanosterol D24-reductase
R05704  glycine:acceptor oxidoreductase (hydrogen-cyanide-forming)
R05705  FMNH2:NAD+ oxidoreductase
R05706  FMNH2:NADP+ oxidoreductase
R05707  reduced-riboflavin:NADP+ oxidoreductase
R05708  N6-dimethylallyladenine:(acceptor) oxidoreductase
R05711  N,N-dimethyl-1,4-phenylenediamine, aniline:NADP+ oxidoreductase
R05712  ammonia:ferricytochrome-c oxidoreductase
R05713  2-mercaptoethanesulfonate,acetoacetate:NADP+ oxidoreductase (decarboxylating)
R05714  CoA,glutathione:NADP+ oxidoreductase (disulfide-forming); NADPH:CoA-glutathione oxidoreductase
R05715  mycothiol:NAD+ oxidoreductase
R05716  mycothiol:NADP+ oxidoreductase
R05717  AMP,sulfite:glutathione-disulfide oxidoreductase (adenosine-5'-phosphosulfate-forming)
R05718  linoleate:oxygen 11S-oxidoreductase
R05719  3-hydroxy-1H-quinolin-4-one 2,4-dioxygenase (CO-forming)
R05720  3-hydroxy-2-methyl-1H-quinolin-4-one 2,4-dioxygenase (CO-forming)
R05721  chloride:oxygen oxidoreductase
R05722  phytanoyl-CoA, 2-oxoglutarate:oxygen oxidoreductase (2-hydroxylating)
R05723  leucocyanidin,2-oxoglutarate:oxygen oxidoreductase
R05724  nitric oxide, NAD(P)H2:oxygen oxidoreductase
R05725  nitric oxide, NADPH2:oxygen oxidoreductase
R05727  quinine, NADPH2:oxygen oxidoreductase
R05728  4-hydroxyphenylacetaldehyde oxime, NADPH2:oxygen oxidoreductase
R05729  alkene,NADH:oxygen oxidoreductase
R05730  alkene,NADH:oxygen oxidoreductase
R05731  sterol,NADPH:oxygen oxidoreductase (14-methyl cleaving)
R05732  N-methylcoclaurine 3'-hydroxylase
R05733  4beta-hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta- ol,NADH:oxygen oxidoreductase (hydroxylating)
R05734  3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha- carbaldehyde,NADH:oxygen oxidoreductase (hydroxylating)
R05735  acetone:carbon-dioxide ligase (AMP-forming)
R05736  4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen oxidoreductase (hydroxylating)
R05737  4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen oxidoreductase (hydroxylating)
R05738  4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen oxidoreductase (hydroxylating)
R05739  choline,reduced-ferredoxin:oxygen oxidoreductase
R05740  linoleate, hydrogen-donor:oxygen oxidoreductase (D12-unsaturating)
R05741  7-O-methylluteone:O2 oxidoreductase
R05742  thiophene-2-carbonyl-CoA, hydrogen-donor:oxygen oxidoreductase
R05743  rubredoxin:superoxide oxidoreductase
R05744  trans-ferulate:CoASH ligase (ATP-hydrolysing)
R05745  ethylbenzene:(acceptor) oxidoreductase
R05746  phosphonate:NAD+ oxidoreductase
R05747  glutharedoxin:arsenate oxidoreductase
R05748  gluthathione:methylarsonate oxidoreductase
R05749  deacetylipecoside dopamine-lyase
R05750  deacetylisoipecoside dopamine-lyase
R05751  arsenite:azurin oxidoreductase
R05752  arsenate:(acceptor) oxidoreductase
R05753  acceptor:trichloroethene oxidoreductase (chlorinating)
R05754  S-adenosyl-L-methionine:trichlorophenol O-methyltransferase
R05755  S-adenosyl-L-methionine:arsenite As-methyltransferase
R05756  S-adenosyl-L-methionine:methylarsonite As-methyltransferase
R05757  S-adenosyl-L-methionine:3'-demethylstaurosporine O-methyltransferase
R05758  threo-3-hydroxy-L-aspartate ammonia-lyase
R05759  S-adenosyl-L-methionine:jasmonate O-methyltransferase
R05760  S-adenosyl-L-methionine:cycloartenol 24-C-methyltransferase
R05761  (R)-2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase (epoxyalkane-ring-forming)
R05762  (S)-2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase (epoxyalkane-ring-forming)
R05763  S-adenosyl-L-methionine:(E)-prop-1-ene-1,2,3-tricarboxylate 2'-O-methyltransferase
R05764  S-adenosyl-L-methionine:(E)-prop-1-ene-1,2,3-tricarboxylate 3'-O-methyltransferase
R05765  geranyl-diphosphate diphosphate-lyase (cyclizing, pinene-forming)
R05766  geranyl-diphosphate diphosphate-lyase (cyclizing, pinene-forming)
R05767  trehalose 6-phosphate:phosphate b-D-glucosyltransferase
R05768  GDP-mannose:3-phosphoglycerate 3-a-D-mannosyltransferase
R05769  UDP-glucose:hydroquinone-O-b-D-glucosyltransferase
R05771  N-cyclohexylformamide hydro-lyase
R05772  trans-feruloyl-CoA hydro-lyase
R05773  3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propionyl-CoA:vanillin lyase (acetyl-CoA-forming)
R05774  sulfopyruvate carboxy-lyase
R05775  UDP-6-sulfo-6-deoxyglucose sulfohydrolase
R05776  S-adenosyl-L-methionine:24-methylenelophenol C-methyltransferase
R05777  diphospho-myo-inositol-polyphosphate diphosphohydrolase
R05778  4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)
R05779  5-Diphosphoinositol pentakisphosphate diphosphohydrolase
R05780  thiocyanate aminohydrolase
R05781  cyclic-imide amidohydrolase (decyclicizing)
R05782  N-carbamoyl-L-amino acid amidohydrolase
R05783  mandelamide hydrolase
R05784  limonene-1,2-epoxide hydrolase
R05788  6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranoside 6-O-(beta-D-xylosyl)-beta-D-glucohydrolase
R05789  (R)-2-phospho-3-sulfolactate phosphohydrolase
R05790  alpha-D-mannosyl-3-phosphoglycerate phosphohydrolase
R05791  2-(beta-D-glucosyl)-sn-glycerol-3-phosphate phosphohydrolase
R05792  acyloxyacyl hydrolase
R05793  cutin hydrolase
R05794  CDP-diacylglycerol:choline O-phosphatidyltransferase
R05795  ATP:1-phosphatidyl-1D-myo-inositol-4-phosphate 3-phosphotransferase
R05796  poly[(R)-3-hydroxyoctanoate] hydrolase
R05797  poly[(R)-3-hydroxybutyrate] hydrolase
R05798  3'-phosphoadenylyl-sulfate:[heparan sulfate]-glucosamine 3-sulfotransferase
R05799  ATP:1D-myo-inositol-hexakisphosphate phosphotransferase
R05800  ATP:1D-myo-inositol-1,4,5-trisphosphate 6-phosphotransferase
R05801  ATP:1D-myo-inositol-1,4,5-trisphosphate 6-phosphotransferase
R05802  ATP:1-phosphatidyl-1D-myo-inositol-3-phosphate 5-phosphotransferase
R05803  ATP:1-phosphatidyl-1D-myo-inositol-5-phosphate 4-phosphotransferase
R05804  ADP:D-glucose 6-phosphotransferase
R05805  ADP:D-fructose-6-phosphate 1-phosphotransferase
R05806  ATP:deoxynucleoside 5'-phosphotransferase
R05807  sirohydrochlorin cobalt-lyase
R05808  S-adenosyl-L-methionine:cobalt-factor-II C20-methyltransferase
R05809  Cobalt-precorrin 3 + S-Adenosyl-L-methionine <=> Cobalt-precorrin 4 + S-Adenosyl-L-homocysteine
R05810  cobalt-precorrin-4 methyltransferase
R05811  Cobalt-precorrin 5 + S-Adenosyl-L-methionine + H2O <=> Cobalt-precorrin 6 + S-Adenosyl-L-homocysteine + Acetaldehyde
R05812  Cobalt-precorrin 6 + NADPH + H+ <=> Cobalt-dihydro-precorrin 6 + NADP+
R05813  Cobalt-dihydro-precorrin 6 + 2 S-Adenosyl-L-methionine <=> Cobalt-precorrin 8 + 2 S-Adenosyl-L-homocysteine + CO2
R05814  Cobalt-precorrin 8 <=> Cobyrinate
R05815  Cobyrinate + 2 L-Glutamine + 2 ATP + 2 H2O <=> Cob(II)yrinate a,c diamide + 2 L-Glutamate + 2 ADP + 2 Orthophosphate
R05816  1,2-1,6-alpha-D-mannan D-mannohydrolase
R05817  (3Z)-phycocyanobilin:ferredoxin oxidoreductase
R05818  15,16-dihydrobiliverdin:ferredoxin oxidoreductase
R05819  (3Z)-phycoerythrobilin:ferredoxin oxidoreductase
R05820  Protein-N(pai)-phosphohistidine:sugar N(pai)-phosphotransferase
R05821  inosine:oxygen 5'-oxidoreductase
R05822  5'-oxoinosine:oxygen 5'-oxidoreductase
R05823  2-dehydro-D-gluconate:NADP+ 2-oxidoreductase
R05824  4,21-Dehydrocorynantheine aldehyde <=> 4,21-Dehydrogeissoschizine
R05825  polyneuridine aldehyde hydrolase (decarboxylating)
R05826  16-Epivellosimine <=> Vellosimine
R05827  10-deoxysarpagine:NADP+ oxidoreductase
R05828  10-deoxysarpagine,NADPH:oxygen oxidoreductase (10-hydroxylating)
R05829  Geissoschizine <=> Polyneuridine aldehyde
R05830  2-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone:oxidized- dithiothreitol oxidoreductase
R05831  xylitol:NAD oxidoreductase
R05832  7-deoxyloganate,NADPH:oxygen oxidoreductase (7a-hydroxylating)
R05833  loganate:oxygen oxidoreductase (ring cleaving)
R05834  S-adenosyl-L-methionine:secologanate 11-O-methyltransferase
R05835  Glycocholate amidohydrolase
R05836  3alpha,12alpha-Dihydroxy-5beta-chol-6-enoate + 2 H+ <=> 3alpha,12alpha-Dihydroxy-5beta-cholanate
R05837  4-(phosphonooxy)threonine:NAD oxidoreductase
R05838  pyridoxine 5'-phosphate synthase
R05839  pyridoxamine:2-oxoglutarate aminotransferase
R05840  Glycolaldehyde + 2-Oxobutanoate + Alanine <=> Pyridoxine
R05841  Phenylacetyl-CoA + Glycine <=> Phenylacetylglycine + CoA
R05842  ethylene oxide hydrolase
R05843  Phenanthracene + NADH + H+ + Oxygen <=> (+)-cis-3,4-Dihydrophenanthrene-3,4-diol + NAD+
R05844  Strictosidine aglycone <=> Dialdehyde
R05845  Dialdehyde + H+ <=> 4,21-Dehydrocorynantheine aldehyde + H2O
R05846  4,21-Dehydrogeissoschizine <=> Cathenamine
R05847  Cathenamine + NADPH + H+ <=> Ajmalicine + NADP+
R05848  Cathenamine + NADPH + H+ <=> Tetrahydroalstonine + NADP+
R05849  Ajmalicine <=> Serpentine
R05850  L-ribulose-5-phosphate 4-epimerase
R05852  4,21-Dehydrogeissoschizine <=> Stemmadenine
R05853  Stemmadenine <=> Tabersonine
R05854  Stemmadenine <=> Catharanthine
R05855  tabersonine,NADPH:oxygen oxidoreductase (16-hydroxylating)
R05856  16-Methoxytabersonine + H2O <=> 16-Methoxy-2,3-dihydro-3-hydroxytabersonine
R05857  desacetoxyvindoline,2-oxoglutarate:oxygen oxidoreductase (4b-hydroxylating)
R05858  Vindoline + Catharanthine <=> 3',4'-Anhydrovinblastine
R05859  3',4'-Anhydrovinblastine <=> Vinblastine
R05860  Vinblastine <=> Vincristine
R05861  D-alanine:oxygen oxidoreductase (deaminating)
R05862  sarcosine:oxygen oxidoreductase (deaminating)
R05863  N-ethylglycine:oxygen oxidoreductase (deaminating)
R05864  4-Hydroxy-2-oxohexanoate hydro-lyase
R05865  2-Hydroxy-5-methyl-cis,cis-muconic-semialdehyde formylhydrolase
R05866  Tabersonine + NADPH + H+ + Oxygen <=> Lochnericine + NADP+ + H2O
R05867  Lochnericine <=> Horhammericine
R05868  Tabersonine <=> Horhammericine
R05869  Tabersonine <=> Minovincinine
R05870  Minovincinine + Acetyl-CoA <=> Echitovenine + CoA
R05871  19-Hydroxytabersonine <=> Horhammericine
R05872  Tabersonine <=> 19-Hydroxytabersonine
R05873  4,21-Dehydrogeissoschizine <=> 19-epi-Cathenamine
R05874  19-epi-Cathenamine + NADPH + H+ <=> 19-epi-Ajmalicine + NADP+
R05875  Ferredoxin:NAD oxidoreductase
R05876  acyl-CoA:16-epivellosimine O-acetyltransferase (cyclizing)
R05877  vinorine ,NADPH:oxygen oxidoreductase (21a-hydroxylating)
R05878  1,2-dihydrovomilenine:NADP+ oxidoreductase
R05879  17-O-acetylnorajmaline:NADP+ oxidoreductase
R05880  17-O-acetylnorajmaline O-acetylhydrolase
R05881  Norajmaline + S-Adenosyl-L-methionine <=> Ajmaline + S-Adenosyl-L-homocysteine
R05882  UDP-glucose:vomilenine 21-O-beta-D-glucosyltransferase
R05884  isopentenyl-diphosphate:NAD(P)+ oxidoreductase
R05885  S-adenosyl-L-methionine:16-Hydroxytabersonine 16-O-methyltransferase
R05886  Tabersonine <=> Lochnerinine
R05887  Deacetylipecoside <=> Demethylalangiside
R05888  Demethylalangiside <=> Alangiside
R05889  Deacetylisoipecoside <=> Demethylisoalangiside
R05890  Demethylisoalangiside <=> Isoalangiside
R05891  Deacetylisoipecoside <=> Protoemetine
R05892  Protoemetine <=> Emetine
R05893  Protoemetine <=> Cephaeline
R05894  Protoemetine <=> Tubulosine
R05895  Protoemetine + Tryptamine <=> Deoxytubulosine
R05896  Deoxytubulosine <=> Alangimarckine
R05897  Protoemetine <=> Ankorine
R05898  Loganate <=> 10-Deoxygeniposidic acid
R05899  10-Deoxygeniposidic acid <=> Geniposidic acid
R05900  Geniposidic acid <=> Asperuloside
R05901  UDP-N-acetyl-D-glucosamine + G00025 <=> UDP + G00209
R05902  UDP-N-acetyl-D-glucosamine + Galactosylgloboside <=> UDP + G00102
R05903  UDP-D-galactose + G00102 <=> UDP + G00103
R05904  GDP-L-fucose + G00103 <=> GDP + G00104
R05905  CMP-N-acetylneuraminate + PA5 <=> CMP + PA6
R05906  CMP-N-acetylneuraminate + PA4 <=> CMP + PA6
R05907  UDP-N-acetyl-D-galactosamine + Protein serine <=> UDP + Tn antigen
R05908  UDP-D-galactose + Tn antigen <=> UDP + T antigen
R05909  UDP-N-acetyl-D-glucosamine + Tn antigen <=> UDP + G00028
R05910  UDP-N-acetyl-D-glucosamine + Tn antigen <=> UDP + G00031
R05911  CMP-N-acetylneuraminate + Tn antigen <=> CMP + Sialyl-Tn antigen
R05912  UDP-N-acetyl-D-glucosamine + T antigen <=> UDP + G00025
R05913  CMP-N-acetylneuraminate + T antigen <=> CMP + G00026
R05914  CMP-N-acetylneuraminate + G00026 <=> CMP + G00027
R05915  UDP-N-acetyl-D-glucosamine + G00028 <=> UDP + G00029
R05916  UDP-N-acetyl-D-glucosamine + 1-Phosphatidyl-D-myo-inositol <=> UDP + G00143
R05917  G00143 + H2O <=> G00144 + Acetate
R05918  G00144 + Palmitoyl-CoA <=> G00145 + CoA
R05919  Dolichyl phosphate D-mannose + G00145 <=> Dolichyl phosphate + G00146
R05920  Phosphatidylethanolamine + G00146 <=> Diacylglycerol + G00147
R05921  Dolichyl phosphate D-mannose + G00147 <=> Dolichyl phosphate + G00148
R05922  Dolichyl phosphate D-mannose + G00148 <=> Dolichyl phosphate + G00149
R05923  Phosphatidylethanolamine + G00140 <=> Diacylglycerol + G00141
R05924  Phosphatidylethanolamine + G00141 <=> Diacylglycerol + G00151
R05925  UDP-D-xylose + Protein serine <=> UDP + G00154
R05926  UDP-D-galactose + G00154 <=> UDP + G00155
R05927  UDP-D-galactose + G00155 <=> UDP + G00156
R05928  UDP-D-glucuronate + G00156 <=> UDP + G00157
R05929  UDP-N-acetyl-D-galactosamine + G00157 <=> UDP + G00158
R05930  UDP-N-acetyl-D-glucosamine + G00157 <=> UDP + G00162
R05931  UDP-D-glucuronate + G00158 <=> UDP + G00159
R05932  UDP-N-acetyl-D-galactosamine + G00159 <=> UDP + G00160
R05933  UDP-D-glucuronate + G00160 <=> UDP + G00180
R05934  UDP-N-acetyl-D-galactosamine + G00180 <=> UDP + G00161
R05935  UDP-D-glucuronate + G00162 <=> UDP + G00163
R05936  UDP-N-acetyl-D-glucosamine + G00163 <=> UDP + G00164
R05937  CMP-N-acetylneuraminate + Lactosylceramide <=> CMP + GM3
R05938  UDP-N-acetyl-D-galactosamine + Lactosylceramide <=> UDP + GA2
R05939  UDP-N-acetyl-D-galactosamine + GM3 <=> UDP + GM2
R05940  CMP-N-acetylneuraminate + GM3 <=> CMP + GD3
R05941  UDP-D-galactose + GM2 <=> UDP + GM1
R05942  CMP-N-acetylneuraminate + GM1 <=> CMP + GD1a
R05943  CMP-N-acetylneuraminate + GD1a <=> CMP + GT1a
R05944  GDP-L-fucose + GM1 <=> GDP + Fucosyl-GM1
R05945  CMP-N-acetylneuraminate + GD1a <=> CMP + GT1aalpha
R05946  UDP-N-acetyl-D-galactosamine + GD3 <=> UDP + GD2
R05947  CMP-N-acetylneuraminate + GD3 <=> CMP + GT3
R05948  UDP-D-galactose + GD2 <=> UDP + GD1b
R05949  CMP-N-acetylneuraminate + GD1b <=> CMP + GT1b
R05950  CMP-N-acetylneuraminate + GT1b <=> CMP + GQ1b
R05951  CMP-N-acetylneuraminate + GT1b <=> CMP + GQ1balpha
R05952  UDP-N-acetyl-D-galactosamine + GT3 <=> UDP + GT2
R05953  UDP-D-galactose + GT2 <=> UDP + GT1c
R05954  CMP-N-acetylneuraminate + GT1c <=> CMP + GQ1c
R05955  CMP-N-acetylneuraminate + GQ1c <=> CMP + GP1c
R05956  UDP-D-galactose + GA2 <=> UDP + GA1
R05957  CMP-N-acetylneuraminate + GA1 <=> CMP + GM1b
R05958  CMP-N-acetylneuraminate + GM1b <=> CMP + GD1c
R05959  CMP-N-acetylneuraminate + GM1b <=> CMP + GD1a
R05960  UDP-D-galactose + Lactosylceramide <=> UDP + Globotriaosylceramide
R05961  H2O + Globotriaosylceramide <=> D-Galactose + Lactosylceramide
R05962  UDP-N-acetyl-D-galactosamine + Globotriaosylceramide <=> UDP + Globoside
R05963  H2O + Globoside <=> N-Acetyl-D-galactosamine + Globotriaosylceramide
R05964  UDP-D-galactose + Globoside <=> UDP + Galactosylgloboside
R05965  UDP-N-acetyl-D-galactosamine + Globoside <=> UDP + IV3GalNAca-Gb4Cer
R05966  H2O + IV3GalNAca-Gb4Cer <=> N-Acetyl-D-galactosamine + Globoside
R05967  CMP-N-acetylneuraminate + Galactosylgloboside <=> CMP + Monosialylgalactosylgloboside
R05968  GDP-L-fucose + Galactosylgloboside <=> GDP + Globo-H
R05969  UDP-N-acetyl-D-glucosamine:dolichyl-phosphate N-acetyl-D-glucosamine phosphotransferase
R05970  UDP-N-acetyl-D-glucosamine + N-Acetyl-D-glucosaminyldiphosphodolichol <=> UDP + N,N'-Chitobiosyldiphosphodolichol
R05971  UDP-N-acetyl-D-glucosamine + Lactosylceramide <=> UDP + Lc3Cer
R05972  GDP-D-mannose + N,N'-Chitobiosyldiphosphodolichol <=> GDP + G00003
R05973  GDP-D-mannose + G00003 <=> GDP + G00004
R05974  UDP-N-acetyl-D-glucosamine + nLc6Cer <=> UDP + nLc7Cer
R05975  UDP-N-acetyl-D-glucosamine + Paragloboside <=> UDP + nLc5Cer
R05976  Protein asparagine + G00008 <=> Dolichyl diphosphate + G00009
R05977  UDP-D-galactose + Lc3Cer <=> UDP + Paragloboside
R05978  UDP-D-galactose + Paragloboside <=> UDP + nLc5Cer
R05979  H2O + G00009 <=> D-Glucose + G00171
R05980  H2O + G00171 <=> D-Glucose + G00010
R05981  H2O + G00010 <=> D-Glucose + G00011
R05982  G00011 + 4 H2O <=> G00012 + 4 D-Mannose
R05983  UDP-N-acetyl-D-glucosamine + G00012 <=> UDP + G00013
R05984  G00013 + 2 H2O <=> G00014 + 2 D-Mannose
R05985  UDP-N-acetyl-D-glucosamine + G00014 <=> UDP + G00015
R05986  UDP-N-acetyl-D-glucosamine + G00015 <=> UDP + G00019
R05987  UDP-N-acetyl-D-glucosamine + G00015 <=> UDP + G00020
R05988  GDP-L-fucose + G00015 <=> GDP + G00016
R05989  UDP-galactose:N-acetyl-beta-D-glucosaminylglycopeptide beta-1,4-galactosyltransferase
R05990  CMP-N-acetylneuraminate:beta-D-galactosyl 1,4-N-acetyl-beta-D-glucosamine alpha 2,6-N-acetylneuraminyltransferase
R05991  UDP-N-acetyl-D-glucosamine + G00020 <=> UDP + G00021
